Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
LAP3_3740,51056,lap3,20.59465001,24.84698994,31.98850644,0.000167011,0.0011344,-1.7496449,1.7496449,1.039751,-1.0280255,-1.1028483,-1.2423784,-1.4407016,-1.4116507,-1.7496449
LOC100510495_28176,,LOC100510495,1.732480971,3.010741219,18.97840449,0.001253613,0.006503369,-1.8544259,1.8544259,1.3740051,1.1458755,1.1655725,-1.5748415,-1.770071,-1.852097,-1.8544259
LSS_14888,4047,lss,6.678913856,7.328402402,8.159888945,9.57E-09,2.10E-07,-3.7633832,3.7633832,-1.2362448,-1.326312,-1.204276,-1.0352298,-1.2200047,-2.3964922,-3.7633832
LYAR_12352,55646,lyar,7.550288371,10.42383458,18.72448301,0.004270523,0.017418951,2.143296,2.143296,1.8696647,1.0202428,1.5447233,1.214106,1.5332221,1.5809,2.143296
LYZ_23572,4069,lyz,10.29977245,12.9964766,17.54342071,0.0005343,0.003148832,-2.551941,2.551941,-1.1001513,-1.039839,1.0552481,-1.2598459,-1.0657798,-2.551941,-2.242928
MAFF_27478,23764,maff,4.843474332,6.568766236,11.20553692,0.006201941,0.023502863,4.2772923,4.2772923,2.0668952,-1.1997521,1.328773,1.1990032,3.183562,1.7648239,4.2772923
MAN2B1_3947,4125,man2b1,27.47066619,45.23198321,161.0640759,0.003115018,0.013459228,1.5372876,1.5372876,-1.0040537,-1.0741612,1.1137578,-1.4124707,1.5372876,-1.3749787,-1.2155044
MAOB_13383,4129,maob,27.25508119,31.97844108,39.95833136,3.72E-05,0.000293876,-1.5163283,1.5163283,-1.0861566,-1.0551527,1.0614824,-1.0157409,-1.2096012,-1.4778887,-1.5163283
MARCKS_4021,4082,marcks,15.39693582,18.74120006,27.46542836,0.005215963,0.020631471,1.6657763,1.6657763,1.0091187,-1.1923171,-1.3188522,-1.3695618,1.1269972,-1.074442,1.6657763
MASP2_27484,10747,masp2,20.66462013,23.29315596,26.91800882,1.93E-06,2.22E-05,-1.6930588,1.6930588,1.0906065,1.0515131,1.0818586,1.1239086,-1.1155646,-1.176901,-1.6930588
MBD4_4052,,mbd4,13.80234979,18.06741408,27.29794258,0.011872985,0.040494459,1.6154568,1.6154568,-1.1487114,-1.1365469,1.1373825,-1.0391939,1.2739414,1.4139247,1.6154568
MBNL2_4059,10150,mbnl2,27.03451358,32.73320063,42.51929144,1.46E-05,0.000129705,1.5038545,1.5038545,1.052845,1.1134869,-1.0775172,-1.0181886,-1.2969098,1.430537,1.5038545
MCM7_4079,4176,mcm7,7.736689981,10.18443814,15.92044261,0.002194125,0.010049093,2.204954,2.204954,1.2721583,1.4404302,-1.1026858,1.8112451,1.0005755,1.8620491,2.204954
MCUR1_4086,63933,mcur1,19.31696405,21.05338681,24.1738853,5.95E-05,0.000454105,1.8577435,1.8577435,1.3003681,1.1867424,1.0594919,1.1388824,1.1008359,1.056859,1.8577435
MDH2_20964,4191,mdh2,30.67989875,34.92409288,41.1561591,1.90E-07,3.05E-06,1.5028617,1.5028617,1.0994781,1.0086745,1.1126614,1.1503494,1.0223802,1.2288826,1.5028617
ME2_4100,4200,me2,14.76198714,17.91544962,24.25977449,0.000470996,0.002849082,1.8960519,1.8960519,1.3109756,1.0991762,-1.0651945,-1.1274081,1.3603432,1.1506711,1.8960519
METRN_4129,79006,metrn,6.020846009,7.348928511,9.501090902,4.49E-06,4.47E-05,2.6052322,2.6052322,1.1316096,1.2767699,-1.5000162,1.4660199,-1.1925118,1.9933347,2.6052322
MIF_4173,4282,mif;mif-as1,20.69046175,23.62953718,28.15672332,0.000147425,0.001027488,1.5808023,1.5808023,1.0242168,-1.0250353,-1.0362096,1.0299643,-1.0365301,1.108482,1.5808023
MRPL37_12369,51253,mrpl37,21.95035372,26.50606721,34.07153721,0.000764852,0.004271981,1.5875357,1.5875357,1.1780989,1.0982777,1.0962465,-1.0242543,1.0962353,1.1966041,1.5875357
MRPS16_4290,,mrps16,20.51385232,25.41458513,35.00698806,0.000652874,0.003724404,1.5474199,1.5474199,1.2145767,-1.0076202,-1.1166837,1.1282144,1.1201004,1.1216757,1.5474199
MS4A7_12103,58475,ms4a7,5.514139196,6.811153848,9.052617832,0.001679903,0.008111096,-2.3959434,2.3959434,1.1194135,1.1892653,1.3775815,-1.1823852,1.1907091,-2.3959434,-1.9167252
MSMO1_4315,6307,msmo1,8.390488104,8.976587426,9.585732535,3.22E-15,3.97E-13,-5.3108234,5.3108234,-1.0693648,-1.2419941,-1.1538405,-1.1335965,-1.1353694,-3.1730216,-5.3108234
MT1E_4328,4493,mt1e,19.88391239,26.49137228,43.26625688,0.013214584,0.043948087,1.5242001,1.5242001,-1.1053119,-1.1139957,1.0121417,1.1284975,-1.1774243,1.5242001,1.3993663
MT1H_4330,4496,mt1h,20.41699013,28.12460545,47.98434194,0.010099591,0.035425918,1.8755755,1.8755755,-1.0818486,1.1391357,-1.0496616,1.4332061,1.0197641,1.8755755,1.5448617
MT2A_4334,4502,mt2a,20.9569549,26.3741833,36.5540691,5.93E-05,0.000454105,2.3215125,2.3215125,1.0689739,1.3236642,1.0111285,1.3901455,1.04226,2.3215125,1.7887031
MYC_4394,4609,myc,8.633819682,10.0655535,12.1556453,4.93E-06,4.85E-05,3.3929918,3.3929918,1.5092143,1.2814114,1.0837902,1.1711267,1.0500548,1.8793099,3.3929918
NCKAP1L_26591,,nckap1l,15.09910647,23.14520807,67.77357367,0.012208877,0.041463622,2.0100944,2.0100944,1.0603144,-1.4434236,-1.0538366,-1.0965943,2.0100944,-1.6365883,-1.486501
NDRG1_21187,10397,ndrg1,7.003154086,9.354529364,14.87554277,0.001176097,0.00616106,2.0140905,2.0140905,1.0331963,1.270189,1.1204247,1.2988733,1.4153255,2.0140905,1.8162459
NET1_27578,10276,net1,15.22335731,17.98339966,22.29457423,0.000475075,0.002862954,-1.7611285,1.7611285,-1.0304124,-1.0235765,-1.037037,1.1175296,-1.277615,-1.3059123,-1.7611285
NFIL3_4565,4783,nfil3,7.728966903,9.906425915,14.3917184,0.004838178,0.019388998,2.2784078,2.2784078,-1.0102884,-1.455388,-1.1394453,1.064556,-1.229933,1.7211847,2.2784078
NGRN_4584,,ngrn,25.01443554,29.06785081,35.30370233,4.05E-05,0.00031802,1.5975798,1.5975798,1.0911019,-1.0268464,1.1160668,1.0832677,1.0061659,1.2042079,1.5975798
NHP2_10492,55651,nhp2,11.7944222,13.38475126,15.65640666,5.20E-06,5.05E-05,2.1053991,2.1053991,-1.066848,-1.038072,-1.0764966,-1.0881203,-1.330268,1.2621619,2.1053991
NME1_27589,654364,nme1-nme2;nme1,19.52271022,22.79571658,27.97761098,8.59E-05,0.000646667,1.8661617,1.8661617,1.1989537,1.0888726,-1.0108398,1.0373435,1.0405438,1.4601252,1.8661617
NME1_4611,654364,nme1-nme2;nme1,16.50948785,20.34847099,27.31704264,0.001282496,0.006610423,1.8562086,1.8562086,1.2340338,1.2471129,1.0637457,1.300341,1.0596229,1.4364527,1.8562086
NME2_28197,,nme2,15.65521114,19.6560194,27.19452896,0.000132845,0.000933991,1.8110032,1.8110032,1.4665147,1.2101634,1.0520259,1.3704284,1.0806404,1.469758,1.8110032
NNT_4618,23530,nnt,25.10636764,29.49084654,36.50175677,0.000358055,0.00225083,-1.5352403,1.5352403,-1.0020162,1.1295751,1.0379395,1.0774039,-1.090414,-1.2350302,-1.5352403
