Probe.ID,Gene.ID,Gene.Symbol,bmr,bmr_value,adversity_value,model,prior_weight,posterior_weight,bmdl,bmd,bmdu,Unadjusted.P-Value ,Adjusted.P-Value ,Max.Fold.Change ,Max.Fold.Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
FN1_13666,2335,fn1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.75675067,13.41503971,17.15077498,1.62E-09,0.000000106,-2.7270694,2.7270694,-1.09619,1.2131934,1.1196722,-1.3248513,-1.3458408,-2.0895252,-2.7270694
HIST1H2BD_18171,,hist1h2bd,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.75472461,13.15730642,14.94512304,9.68E-08,0.00000377,-2.508507,2.508507,-1.1150808,-1.2445352,-1.2640309,-1.2983046,-1.1754813,-1.9585879,-2.508507
ZFAND1_22534,79752,zfand1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.38577285,12.93913769,17.99411536,0.008635051,0.047696989,1.8995024,1.8995024,1.1414071,1.0342658,-1.2027271,1.0588006,-1.0877787,1.3015587,1.8995024
LDLR_19353,3949,ldlr,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.27855033,12.69552693,16.92352964,0.003153445,0.020874018,-1.9671762,1.9671762,-1.0161107,-1.0663295,1.0572388,-1.2009705,-1.0880319,-1.9671762,-1.8276217
LEPROTL1_21732,23484,leprotl1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.2808797,12.67745637,16.70163737,0.002152943,0.015785031,1.8793844,1.8793844,1.083262,-1.0541059,1.1194745,1.172015,1.0963247,1.6745683,1.8793844
IGFBP1_3266,3484,igfbp1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.55923862,12.58253867,16.68150867,0.002358495,0.016893047,2.9303405,2.9303405,-1.1018282,1.0932548,1.1691091,-1.547292,-1.6020421,1.2333708,2.9303405
INSIG1_3385,3638,insig1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.74529609,12.13867604,13.55897838,1.56E-08,0.000000879,-4.8899307,4.8899307,-1.0566547,1.0656974,1.1570745,1.1203674,1.1893077,-1.5042034,-4.8899307
ENOPH1_2156,58478,enoph1,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.631356693,12.03141739,16.09791221,0.0000575,0.000804,1.8811444,1.8811444,1.3478084,-1.0181701,1.0704709,1.2228876,1.3412758,1.7067612,1.8811444
CYP39A1_17915,51302,cyp39a1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.04794964,11.93466467,15.0955276,0.000302,0.003138376,-2.2542448,2.2542448,-1.1617872,-1.0185201,-1.1523324,-1.2603673,-1.5593059,-1.3154209,-2.2542448
EIF4EBP1_28851,,eif4ebp1,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.923102293,11.92826139,14.9879534,0.0000634,0.000863,2.4415584,2.4415584,1.107517,1.1717163,1.2768509,1.3101863,1.3329377,1.6182196,2.4415584
PAFAH1B3_28382,5050,pafah1b3,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.517565565,11.92642679,16.21603346,0.000436,0.004246762,2.0804632,2.0804632,1.2204863,1.1423122,1.4120324,1.3072098,1.282811,1.778605,2.0804632
TES_7031,26136,tes,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.58912079,11.87721564,16.38914199,0.001909362,0.014422602,2.1471617,2.1471617,1.1438189,1.3775164,1.1692358,1.1047662,-1.1132973,1.5012919,2.1471617
CCL15_25622,348249,ccl15;ccl15-ccl14,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.60601923,11.83111106,13.3926008,0.000000112,0.00000425,2.7959902,2.7959902,-1.0424943,1.0438838,1.0704921,-1.1574033,1.0295808,1.6118962,2.7959902
MDM2_27497,4193,mdm2,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.404906948,11.57958702,19.72404974,0.004558407,0.028887582,2.4143672,2.4143672,-1.2205117,1.2172207,-1.0478997,1.3338417,1.141581,2.4143672,1.631956
