Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
KRT7_10561,3855,krt7;krt7-as,1.278156914,1.757331289,2.825561678,0.001544263,0.008530054,5.9491906,5.9491906,2.410935,1.8908788,3.1241446,2.187374,3.3623364,5.86226,5.9491906
LAP3_3740,51056,lap3,22.21729279,25.93017799,31.60348324,7.19637E-05,0.000698636,-1.6299981,1.6299981,-1.0475045,-1.1461353,-1.0888085,-1.039176,-1.0738573,-1.5328218,-1.6299981
LSS_14888,4047,lss,3.642888218,4.854554573,6.486825122,2.55653E-06,4.20377E-05,-2.9665766,2.9665766,1.1072996,-1.032844,-1.0087572,-1.0051827,-1.1173154,-2.9665766,-2.7307315
LYAR_12352,55646,lyar,7.345414936,10.27380261,20.79142749,0.010546418,0.039119854,1.8996267,1.8996267,1.3461429,-1.3645728,-1.8878623,1.3738253,-1.1622335,1.3036542,1.8996267
LYRM1_3916,57149,lyrm1,28.49838128,45.68357775,80.27919597,0.001148748,0.006909594,1.655207,1.655207,1.0829276,1.1541265,-1.0897353,1.0641034,1.0841653,1.655207,1.1887017
LYZ_23572,4069,lyz,18.43374932,23.79006229,35.27150584,0.005839576,0.024640539,-1.9909432,1.9909432,-1.2832025,1.0891901,-1.2981596,-1.4583126,-1.1286646,-1.9909432,-1.8970573
MAFF_27478,23764,maff,3.823624635,4.920329774,7.145246151,0.011092208,0.040578148,5.689358,5.689358,1.2878082,1.1124352,-1.408367,-1.1350523,1.0777003,2.4379158,5.689358
MAOB_13383,4129,maob,22.45726679,24.40463485,26.93110336,3.28509E-09,1.8068E-07,-1.7853895,1.7853895,1.0863477,-1.0877532,1.016641,-1.0384529,-1.1295751,-1.3760648,-1.7853895
MASP2_27484,10747,masp2,14.55746488,16.21379176,18.38482413,1.8777E-06,3.22036E-05,-2.0183308,2.0183308,1.0724647,-1.0106728,1.1014532,1.0644505,-1.0435444,-1.5535808,-2.0183308
MCM7_4079,4176,mcm7,10.47333805,12.9604645,17.51025056,0.00087068,0.005532809,1.6728655,1.6728655,-1.166782,-1.3657751,-1.3503741,-1.0639718,-1.1912874,1.3585123,1.6728655
