Probe.ID,Gene.ID,Gene.Symbol,bmr,bmr_value,adversity_value,model,prior_weight,posterior_weight,bmdl,bmd,bmdu,Adjusted P-Value,Max Fold Change
RAN_5725,,ran,CentralTendencyRelativeChange,,0.1,Model average,1,1,20.2155461,24.95485746,33.9040476,0.017688945,1.6044621
RNASE6_10652,6039,rnase6,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.685715816,10.58574251,17.52430209,0.02271754,-2.369919
RPL17_5919,,rpl17,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.15247815,24.29641602,34.05310839,9.75E-04,1.6302066
RPL27_5929,6155,rpl27,CentralTendencyRelativeChange,,0.1,Model average,1,1,24.35995378,34.01795641,60.22147963,0.003726044,1.5090951
RPL35_21373,,rpl35,CentralTendencyRelativeChange,,0.1,Model average,1,1,30.74785841,36.78459196,46.44547044,0.003413457,1.5108094
RPL4_5948,,rpl4,CentralTendencyRelativeChange,,0.1,Model average,1,1,33.30220859,39.29735404,48.50154785,2.28E-04,1.559061
RPL7L1_16386,285855,rpl7l1,CentralTendencyRelativeChange,,0.1,Model average,1,1,17.84093808,24.42580656,41.59678529,0.045605527,1.558533
RPS5_6011,6193,rps5,CentralTendencyRelativeChange,,0.1,Model average,1,1,27.24779918,34.11892374,47.41588536,0.015838156,1.5251253
RSL24D1_11903,51187,rsl24d1,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.51668683,21.60687762,25.95074585,0.009517576,1.5113722
SAA1_22122,6288,saa2;saa2-saa4;saa1,CentralTendencyRelativeChange,,0.1,Model average,1,1,20.45085349,25.49768182,35.7455495,0.004090713,1.8234632
SAT1_17598,,sat1,CentralTendencyRelativeChange,,0.1,Model average,1,1,25.31356755,30.52880121,39.22054858,0.002718619,-1.6783422
SAT1_6103,,sat1,CentralTendencyRelativeChange,,0.1,Model average,1,1,26.19127902,31.61331255,40.76404364,4.32E-05,-1.7962307
SCP2_6152,6342,scp2,CentralTendencyRelativeChange,,0.1,Model average,1,1,27.93992706,31.95761437,39.74860286,0.010058172,-1.5088582
SHB_27848,6461,shb,CentralTendencyRelativeChange,,0.1,Model average,1,1,20.37309806,24.63312487,32.033328,0.015838156,1.5770855
SLC1A2_24387,6506,slc1a2,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.554478958,4.112424607,4.84448042,3.93E-05,-4.516158
SLC1A4_6371,6509,slc1a4,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.311182942,5.622801073,12.88770584,0.036252544,2.4429612
SLC27A2_6426,11001,slc27a2,CentralTendencyRelativeChange,,0.1,Model average,1,1,4.088788062,5.89764102,10.09697047,1.97E-04,2.12873
SLC2A2_6439,6514,slc2a2,CentralTendencyRelativeChange,,0.1,Model average,1,1,16.69008033,19.22432708,23.20820852,0.004090713,-2.0231917
SLC51A_15250,200931,slc51a,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.39390114,11.77940406,13.5951388,2.58E-06,2.505408
SLC7A5_13711,8140,slc7a5,CentralTendencyRelativeChange,,0.1,Model average,1,1,4.349866049,5.514363181,7.916187026,0.020895494,3.4072192
SLCO1B1_14765,10599,slco1b1,CentralTendencyRelativeChange,,0.1,Model average,1,1,109.1837647,312.2324411,2677.700591,0.013631495,-1.5355895
SNAI2_24257,6591,snai2,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.830995539,4.122566568,8.125217783,0.020895494,-2.8736966
SOX4_6686,6659,sox4,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.649008537,9.313358054,17.91098471,0.044923064,2.1822066
SPTAN1_6727,6709,sptan1,CentralTendencyRelativeChange,,0.1,Model average,1,1,18.43133722,22.82939691,31.11958991,0.002181931,1.5831034
SQSTM1_6740,8878,sqstm1,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.569320373,10.09517922,12.12627232,2.90E-06,2.7453375
SRM_19860,6723,srm,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.17849416,12.53975484,16.91151876,7.97E-04,1.7999094
STAP2_6820,55620,stap2,CentralTendencyRelativeChange,,0.1,Model average,1,1,20.71138811,24.48437415,30.72467652,1.95E-05,-1.5003108
SYPL1_6922,6856,sypl1,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.4979523,22.32219612,26.59979289,3.47E-04,1.6393147
TCEA2_6992,6919,tcea2,CentralTendencyRelativeChange,,0.1,Model average,1,1,4.769983172,6.159887777,9.02527551,0.008984936,2.357455
TES_7031,26136,tes,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.020081932,10.80447723,13.62402519,0.006101658,1.9935138
THEM4_24773,117145,them4,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.703690878,3.415186863,4.873716169,3.87E-06,2.7244208
TIPIN_11359,,tipin,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.144466079,9.039337995,12.57637973,0.045727766,1.9912071
TNFSF10_17292,8743,tnfsf10,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.443989267,3.84433004,4.315865956,8.18E-10,-5.786186
TNIP1_7262,10318,tnip1,CentralTendencyRelativeChange,,0.1,Model average,1,1,4.003096633,6.637608913,21.7329918,0.040549579,-2.2874813
TRIB3_7337,57761,trib3,CentralTendencyRelativeChange,,0.1,Model average,1,1,15.21978234,16.84017955,17.92141148,6.43E-07,2.755368
TRUB2_16962,26995,trub2,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.377266993,6.751995435,9.061624345,0.001178563,1.9351937
TSKU_7371,25987,tsku,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.190983386,7.265695114,8.526002507,7.23E-10,2.8183172
TUBB2A_14065,7280,tubb2a,CentralTendencyRelativeChange,,0.1,Model average,1,1,23.20082274,30.54444754,47.59188181,1.00E-04,-1.7050037
TXNRD1_7440,7296,txnrd1,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.712429033,7.608673351,8.793838551,3.09E-06,3.326124
UGT1A6_7540,,ugt1a6,CentralTendencyRelativeChange,,0.1,Model average,1,1,0.718558861,13.46177883,69.29716265,0.006086205,-2.103344
UGT2B7_21389,7364,ugt2b7,CentralTendencyRelativeChange,,0.1,Model average,1,1,36.91729683,46.25530562,64.09779902,2.84E-05,-1.5425564
UGT2B7_7548,7364,ugt2b7,CentralTendencyRelativeChange,,0.1,Model average,1,1,1.631691533,2.741521532,4.888992113,4.82E-08,-2.7992737
USMG5_16099,,usmg5,CentralTendencyRelativeChange,,0.1,Model average,1,1,30.5690932,62.8349419,433.5030747,0.017325936,-1.8850169
VPS4B_7681,,vps4b,CentralTendencyRelativeChange,,0.1,Model average,1,1,16.40216108,17.83522214,21.5048686,0.048563548,-1.8350953
WFS1_7723,7466,wfs1,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.197692291,6.988207925,10.94856836,0.010741864,2.0844553
YIPF5_7795,81555,yipf5,CentralTendencyRelativeChange,,0.1,Model average,1,1,34.07846214,74.11808711,534.9444185,0.008379155,1.5902677
ZNF367_14143,195828,znf367,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.829875441,4.969257961,7.193598516,0.001821272,2.7666993
ZNF395_7894,55893,znf395,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.920264856,5.39840568,9.213083794,0.033517225,2.535694
AGXT2_28617,,agxt2,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.898294302,4.3463644,4.904633166,3.84E-06,-5.1015763
CYP2A6_28673,,cyp2a6,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.69727259,18.22284595,41.30675516,0.048429043,-2.450146
CYP3A5_28493,1577,zscan25;cyp3a5,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.278477417,9.067360412,15.58739749,0.001264085,2.4584265
EIF3C_28624,8663,eif3cl;eif3c,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.997484518,11.95448761,18.55123835,0.002729873,1.956498
EIF4EBP1_28851,,eif4ebp1,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.577543644,9.327565787,10.24688047,4.64E-09,2.9211414
UGT1A4_7535,54657,ugt1a4,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.95220471,11.07843496,20.44900711,0.048429043,-1.6667395
AGXT2_16258,,agxt2,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.1174468,5.940461453,7.09367109,0.008775261,-2.3902814
CYP3A4_28338,,cyp3a4,CentralTendencyRelativeChange,,0.1,Model average,1,1,1.388822549,1.907034895,2.876733662,2.58E-06,9.567617
HIKESHI_17564,51501,hikeshi,CentralTendencyRelativeChange,,0.1,Model average,1,1,1.30151794,2.267332772,9.822467445,0.020895494,-2.044924
CENPU_24681,79682,cenpu,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.456274425,4.777377098,8.069257833,0.0140281,2.5918992
